School Name,School Type,Starting Median Salary,Mid-Career Median Salary,Mid-Career 10th Percentile Salary,Mid-Career 25th Percentile Salary,Mid-Career 75th Percentile Salary,Mid-Career 90th Percentile Salary
University of Illinois at Urbana-Champaign (UIUC),2,"$52,900.00 ","$96,100.00 ","$48,200.00 ","$68,900.00 ","$132,000.00 ","$177,000.00 "
"University of Maryland, College Park",2,"$52,000.00 ","$95,000.00 ","$50,400.00 ","$68,300.00 ","$126,000.00 ","$166,000.00 "
"University of California, Santa Barbara (UCSB)",2,"$50,500.00 ","$95,000.00 ","$51,300.00 ","$71,200.00 ","$129,000.00 ","$173,000.00 "
University of Texas (UT) - Austin,2,"$49,700.00 ","$93,900.00 ","$50,100.00 ","$67,400.00 ","$129,000.00 ","$188,000.00 "
State University of New York (SUNY) at Albany,2,"$44,500.00 ","$92,200.00 ","$47,000.00 ","$63,100.00 ","$135,000.00 ","$209,000.00 "
University of Florida (UF),2,"$47,100.00 ","$87,900.00 ","$45,400.00 ","$62,900.00 ","$120,000.00 ","$172,000.00 "
Louisiana State University (LSU),2,"$46,900.00 ","$87,800.00 ","$43,700.00 ","$61,300.00 ","$120,000.00 ","$165,000.00 "
University of Georgia (UGA),2,"$44,100.00 ","$86,000.00 ","$43,100.00 ","$57,800.00 ","$118,000.00 ","$164,000.00 "
Pennsylvania State University (PSU),2,"$49,900.00 ","$85,700.00 ","$46,300.00 ","$62,000.00 ","$117,000.00 ","$160,000.00 "
Arizona State University (ASU),2,"$47,400.00 ","$84,100.00 ","$44,600.00 ","$60,700.00 ","$114,000.00 ","$163,000.00 "
"Indiana University (IU), Bloomington",2,"$46,300.00 ","$84,000.00 ","$43,600.00 ","$60,400.00 ","$119,000.00 ","$178,000.00 "
University of Iowa (UI),2,"$44,700.00 ","$83,900.00 ","$43,300.00 ","$61,100.00 ","$116,000.00 ","$163,000.00 "
Randolph-Macon College,2,"$42,600.00 ","$83,600.00 ",,"$54,100.00 ","$123,000.00 ",
"University of Alabama, Tuscaloosa",2,"$41,300.00 ","$81,400.00 ","$40,100.00 ","$56,500.00 ","$117,000.00 ","$161,000.00 "
University of Mississippi,2,"$41,400.00 ","$79,700.00 ","$40,400.00 ","$53,500.00 ","$108,000.00 ","$186,000.00 "
University of New Hampshire (UNH),2,"$41,800.00 ","$78,300.00 ","$41,700.00 ","$56,400.00 ","$114,000.00 ","$147,000.00 "
West Virginia University (WVU),2,"$43,100.00 ","$78,100.00 ","$39,700.00 ","$55,700.00 ","$106,000.00 ","$141,000.00 "
University of Tennessee,2,"$43,800.00 ","$74,600.00 ","$41,900.00 ","$53,200.00 ","$106,000.00 ","$153,000.00 "
Ohio University,2,"$42,200.00 ","$73,400.00 ","$36,600.00 ","$52,800.00 ","$106,000.00 ","$150,000.00 "
Florida State University (FSU),2,"$42,100.00 ","$73,000.00 ","$39,600.00 ","$52,800.00 ","$107,000.00 ","$156,000.00 "
Bucknell University,3,"$54,100.00 ","$110,000.00 ","$62,800.00 ","$80,600.00 ","$156,000.00 ","$251,000.00 "
Colgate University,3,"$52,800.00 ","$108,000.00 ","$60,000.00 ","$76,700.00 ","$167,000.00 ","$265,000.00 "
Amherst College,3,"$54,500.00 ","$107,000.00 ",,"$84,900.00 ","$162,000.00 ",
Lafayette College,3,"$53,900.00 ","$107,000.00 ","$70,600.00 ","$79,300.00 ","$144,000.00 ","$204,000.00 "
Bowdoin College,3,"$48,100.00 ","$107,000.00 ",,"$74,600.00 ","$146,000.00 ",
College of the Holy Cross,3,"$50,200.00 ","$106,000.00 ",,"$65,600.00 ","$143,000.00 ",
Occidental College,3,"$51,900.00 ","$105,000.00 ",,"$54,800.00 ","$157,000.00 ",
Washington and Lee University,3,"$53,600.00 ","$104,000.00 ",,"$82,800.00 ","$146,000.00 ",
Swarthmore College,3,"$49,700.00 ","$104,000.00 ",,"$67,200.00 ","$167,000.00 ",
Davidson College,3,"$46,100.00 ","$104,000.00 ",,"$70,500.00 ","$146,000.00 ",
Carleton College,3,"$47,500.00 ","$103,000.00 ",,"$69,400.00 ","$141,000.00 ",
Williams College,3,"$51,700.00 ","$102,000.00 ",,"$76,400.00 ","$143,000.00 ",
Pomona College,3,"$48,600.00 ","$101,000.00 ",,"$63,300.00 ","$161,000.00 ",
"Wesleyan University (Middletown, Connecticut)",3,"$46,500.00 ","$97,900.00 ","$42,000.00 ","$62,500.00 ","$126,000.00 ","$215,000.00 "
Bates College,3,"$47,300.00 ","$96,500.00 ",,"$60,700.00 ","$162,000.00 ",
Union College,3,"$47,200.00 ","$95,800.00 ","$48,700.00 ","$75,200.00 ","$135,000.00 ","$230,000.00 "
University of Richmond,3,"$48,600.00 ","$94,600.00 ","$44,500.00 ","$59,400.00 ","$151,000.00 ","$211,000.00 "
Vassar College,3,"$46,000.00 ","$94,600.00 ",,"$60,600.00 ","$123,000.00 ",
Middlebury College,3,"$47,700.00 ","$94,200.00 ",,"$69,100.00 ","$129,000.00 ",
Mount Holyoke College,3,"$42,400.00 ","$94,100.00 ",,"$57,100.00 ","$131,000.00 ",
Franklin and Marshall College,3,"$49,100.00 ","$92,800.00 ",,"$55,800.00 ","$185,000.00 ",
DePauw University,3,"$41,400.00 ","$88,300.00 ","$49,500.00 ","$57,400.00 ","$133,000.00 ","$185,000.00 "
St. Olaf College,3,"$45,300.00 ","$86,200.00 ","$41,300.00 ","$61,000.00 ","$120,000.00 ","$185,000.00 "
Colby College,3,"$46,400.00 ","$85,800.00 ",,"$63,500.00 ","$129,000.00 ",
Gettysburg College,3,"$44,700.00 ","$85,800.00 ",,"$66,300.00 ","$132,000.00 ",
Siena College,3,"$45,500.00 ","$85,200.00 ","$38,700.00 ","$58,400.00 ","$129,000.00 ","$189,000.00 "
Smith College,3,"$44,000.00 ","$83,900.00 ","$45,100.00 ","$59,800.00 ","$129,000.00 ","$184,000.00 "
Hamilton College,3,"$49,200.00 ","$83,700.00 ",,"$51,900.00 ","$123,000.00 ",
Randolph-Macon College,3,"$42,600.00 ","$83,600.00 ",,"$54,100.00 ","$123,000.00 ",
Wellesley College,3,"$42,800.00 ","$83,500.00 ",,"$58,600.00 ","$125,000.00 ",
Denison University,3,"$42,000.00 ","$83,500.00 ",,"$62,100.00 ","$122,000.00 ",
Oberlin College,3,"$43,400.00 ","$81,600.00 ",,"$46,400.00 ","$128,000.00 ",
University of Puget Sound,3,"$46,600.00 ","$81,500.00 ","$48,900.00 ","$60,100.00 ","$104,000.00 ","$137,000.00 "
Colorado College (CC),3,"$38,500.00 ","$81,400.00 ",,"$43,000.00 ","$148,000.00 ",
Reed College,3,"$40,500.00 ","$81,100.00 ",,"$67,400.00 ","$101,000.00 ",
Gustavus Adolphus College,3,"$44,500.00 ","$80,600.00 ",,"$49,300.00 ","$101,000.00 ",
Whitman College,3,"$43,500.00 ","$80,100.00 ",,"$64,800.00 ","$111,000.00 ",
Ursinus College,3,"$42,100.00 ","$80,000.00 ","$35,600.00 ","$54,300.00 ","$100,000.00 ","$160,000.00 "
Juniata College,3,"$41,800.00 ","$78,900.00 ",,"$67,200.00 ","$110,000.00 ",
Wittenberg University,3,"$39,200.00 ","$78,200.00 ",,"$54,100.00 ","$131,000.00 ",
Grinnell College,3,"$42,600.00 ","$76,600.00 ",,"$65,100.00 ","$116,000.00 ",
Skidmore College,3,"$41,600.00 ","$74,600.00 ",,"$42,800.00 ","$147,000.00 ",
Moravian College,3,"$42,500.00 ","$74,400.00 ",,"$56,700.00 ","$94,900.00 ",
Lewis & Clark College,3,"$38,900.00 ","$72,600.00 ","$38,200.00 ","$53,400.00 ","$104,000.00 ","$140,000.00 "
Fort Lewis College,3,"$42,000.00 ","$69,800.00 ",,"$55,000.00 ","$94,000.00 ",
Thomas Aquinas College,3,"$41,500.00 ","$67,500.00 ",,"$44,600.00 ","$93,100.00 ",
Evergreen State College,3,"$39,500.00 ","$63,900.00 ","$38,800.00 ","$47,200.00 ","$91,600.00 ","$120,000.00 "
Dartmouth College,4,"$58,000.00 ","$134,000.00 ","$63,100.00 ","$90,200.00 ","$234,000.00 ","$321,000.00 "
Princeton University,4,"$66,500.00 ","$131,000.00 ","$68,900.00 ","$100,000.00 ","$190,000.00 ","$261,000.00 "
Yale University,4,"$59,100.00 ","$126,000.00 ","$58,000.00 ","$80,600.00 ","$198,000.00 ","$326,000.00 "
Harvard University,4,"$63,400.00 ","$124,000.00 ","$54,800.00 ","$86,200.00 ","$179,000.00 ","$288,000.00 "
University of Pennsylvania,4,"$60,900.00 ","$120,000.00 ","$55,900.00 ","$79,200.00 ","$192,000.00 ","$282,000.00 "
Cornell University,4,"$60,300.00 ","$110,000.00 ","$56,800.00 ","$79,800.00 ","$160,000.00 ","$210,000.00 "
Brown University,4,"$56,200.00 ","$109,000.00 ","$55,400.00 ","$74,400.00 ","$159,000.00 ","$228,000.00 "
Columbia University,4,"$59,400.00 ","$107,000.00 ","$50,300.00 ","$71,900.00 ","$161,000.00 ","$241,000.00 "
"University of California, Berkeley",5,"$59,900.00 ","$112,000.00 ","$59,500.00 ","$81,000.00 ","$149,000.00 ","$201,000.00 "
University of Virginia (UVA),5,"$52,700.00 ","$103,000.00 ","$52,200.00 ","$71,800.00 ","$146,000.00 ","$215,000.00 "
Cal Poly San Luis Obispo,5,"$57,200.00 ","$101,000.00 ","$55,000.00 ","$74,700.00 ","$133,000.00 ","$178,000.00 "
University of California at Los Angeles (UCLA),5,"$52,600.00 ","$101,000.00 ","$51,300.00 ","$72,500.00 ","$139,000.00 ","$193,000.00 "
"University of California, San Diego (UCSD)",5,"$51,100.00 ","$101,000.00 ","$51,700.00 ","$75,400.00 ","$131,000.00 ","$177,000.00 "
"University of California, Davis",5,"$52,300.00 ","$99,600.00 ","$52,000.00 ","$71,600.00 ","$135,000.00 ","$202,000.00 "
University of Colorado - Boulder (UCB),5,"$47,100.00 ","$97,600.00 ","$51,600.00 ","$69,000.00 ","$128,000.00 ","$187,000.00 "
"University of California, Irvine (UCI)",5,"$48,300.00 ","$96,700.00 ","$47,800.00 ","$66,000.00 ","$123,000.00 ","$172,000.00 "
University of Illinois at Urbana-Champaign (UIUC),5,"$52,900.00 ","$96,100.00 ","$48,200.00 ","$68,900.00 ","$132,000.00 ","$177,000.00 "
Texas A&M University,5,"$49,700.00 ","$96,100.00 ","$51,100.00 ","$71,300.00 ","$131,000.00 ","$171,000.00 "
Binghamton University,5,"$53,600.00 ","$95,900.00 ","$50,900.00 ","$71,200.00 ","$146,000.00 ","$201,000.00 "
University of Missouri - Rolla (UMR),5,"$57,100.00 ","$95,800.00 ","$67,600.00 ","$80,400.00 ","$122,000.00 ","$166,000.00 "
San Jose State University (SJSU),5,"$53,500.00 ","$95,600.00 ","$50,700.00 ","$70,500.00 ","$122,000.00 ","$156,000.00 "
"University of Maryland, College Park",5,"$52,000.00 ","$95,000.00 ","$50,400.00 ","$68,300.00 ","$126,000.00 ","$166,000.00 "
"University of California, Santa Barbara (UCSB)",5,"$50,500.00 ","$95,000.00 ","$51,300.00 ","$71,200.00 ","$129,000.00 ","$173,000.00 "
University of Texas (UT) - Austin,5,"$49,700.00 ","$93,900.00 ","$50,100.00 ","$67,400.00 ","$129,000.00 ","$188,000.00 "
University of Michigan,5,"$52,700.00 ","$93,000.00 ","$50,900.00 ","$69,400.00 ","$128,000.00 ","$182,000.00 "
Stony Brook University,5,"$49,500.00 ","$93,000.00 ","$47,200.00 ","$67,100.00 ","$129,000.00 ","$181,000.00 "
State University of New York (SUNY) at Albany,5,"$44,500.00 ","$92,200.00 ","$47,000.00 ","$63,100.00 ","$135,000.00 ","$209,000.00 "
Rutgers University,5,"$50,300.00 ","$91,800.00 ","$48,100.00 ","$65,100.00 ","$128,000.00 ","$176,000.00 "
Purdue University,5,"$51,400.00 ","$90,500.00 ","$49,900.00 ","$67,400.00 ","$121,000.00 ","$168,000.00 "
University of Connecticut (UConn),5,"$48,000.00 ","$88,800.00 ","$46,100.00 ","$66,400.00 ","$120,000.00 ","$162,000.00 "
University of Massachusetts (UMass) - Amherst,5,"$46,600.00 ","$88,200.00 ","$43,100.00 ","$61,300.00 ","$122,000.00 ","$168,000.00 "
"California State University (CSU), Chico",5,"$47,400.00 ","$88,100.00 ","$46,800.00 ","$62,800.00 ","$122,000.00 ","$154,000.00 "
University of Florida (UF),5,"$47,100.00 ","$87,900.00 ","$45,400.00 ","$62,900.00 ","$120,000.00 ","$172,000.00 "
University of Wisconsin (UW) - Madison,5,"$48,900.00 ","$87,800.00 ","$47,400.00 ","$62,400.00 ","$118,000.00 ","$170,000.00 "
Louisiana State University (LSU),5,"$46,900.00 ","$87,800.00 ","$43,700.00 ","$61,300.00 ","$120,000.00 ","$165,000.00 "
"California State University, Fullerton (CSUF)",5,"$45,700.00 ","$87,000.00 ","$45,400.00 ","$62,500.00 ","$119,000.00 ","$158,000.00 "
George Mason University,5,"$47,800.00 ","$86,900.00 ","$51,300.00 ","$67,200.00 ","$114,000.00 ","$150,000.00 "
University of Massachusetts (UMass) - Lowell,5,"$45,400.00 ","$86,600.00 ","$50,900.00 ","$65,000.00 ","$113,000.00 ","$158,000.00 "
San Francisco State University (SFSU),5,"$47,300.00 ","$86,400.00 ","$45,100.00 ","$62,700.00 ","$114,000.00 ","$150,000.00 "
University of Arizona,5,"$47,500.00 ","$86,100.00 ","$44,800.00 ","$61,700.00 ","$117,000.00 ","$160,000.00 "
Clemson University,5,"$48,400.00 ","$86,000.00 ","$50,500.00 ","$61,800.00 ","$111,000.00 ","$150,000.00 "
University of Georgia (UGA),5,"$44,100.00 ","$86,000.00 ","$43,100.00 ","$57,800.00 ","$118,000.00 ","$164,000.00 "
